ID,Name,Type,Date / Period,Location,Created By / Associated With,Detailed Historical Background,Additional Notes / Facts,Museum / Location,Discovered or Created by,Image_URL
194,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
195,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
196,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
197,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
198,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
199,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
200,Kleopatra's Needle (London/Paris/NY replicas),Monument / Obelisk,Originally 15th century BC (Thutmose III / Ramesses II?),Originally from Heliopolis/Luxor region,Pharaonic origins; later transported in modern era,"Famous obelisks known as 'Cleopatra's Needles' were taken to foreign capitals in the 19th century, illustrating modern movements of Egyptian monuments. (See archaeological reports for detailed studies.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kleopatra%27s+Needle+%28London%2FParis%2FNY+replicas%29
201,Meroe Pyramids,Archaeological Site / Pyramids,c. 8th century BC – 4th century AD (Kingdom of Kush),"Island of Meroe, Sudan",Kushite rulers of Meroitic kingdom,"The Meroe necropolis contains hundreds of small steep-sided pyramids and the remains of an urban center that functioned as the capital of the Kingdom of Kush. The royal cemeteries at Meroe reveal a distinctive Kushite funerary architecture different from Egyptian pyramids, with many associated temples, workshops and craft production areas. Archaeological investigations have documented ironworking, trade links across the Nile corridor and cultural exchanges with Egypt and sub-Saharan Africa. The site is UNESCO-listed for its testimony to a major African civilization centered in the Nile Valley.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Meroe+Pyramids
202,Gebel Barkal (Jebel Barkal),Sacred Mountain and Temple Complex,Napatan to Meroitic periods (c. 900 BC – 350 AD),"Near Karima, Northern State, Sudan",Napatan and Kushite rulers,"Gebel Barkal is a small sandstone mesa whose temples, pyramids and rock-cut shrines served as a spiritual center for the Napatan and Meroitic kingdoms of Kush. The site includes temples dedicated to Amun and associated royal burials at nearby cemeteries such as Nuri and el-Kurru, linking it to Kushite kingship and religious ideology. Excavations have revealed monumental architecture, reliefs and inscriptions that testify to intense cultural interaction with Pharaonic Egypt. Gebel Barkal and related Napatan sites are inscribed as UNESCO World Heritage for their outstanding testimony to Kushite civilization.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Gebel+Barkal+%28Jebel+Barkal%29
203,Nuri Pyramids,Royal Necropolis / Pyramids,c. 8th–6th centuries BC (Napatan period),"Nuri, near Gebel Barkal, Sudan",Napatan kings including Taharqa,"The Nuri cemetery contains pyramidal tombs for Napatan rulers, including that of Pharaoh Taharqa, who is also known from Egyptian records. These pyramids, while smaller than Egyptian Old Kingdom monuments, are notable for their funerary chapels, offering tables and inscriptions reflecting Kushite royal cult practices. Archaeological study of Nuri provides evidence for burial variation, material exchange and the political geography of Napatan power. Preservation challenges include erosion and the need for coordinated conservation efforts across Sudanese heritage sites.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Nuri+Pyramids
204,El-Kurru Tombs,Royal Tomb Complex,c. 9th–7th centuries BC (Napatan period),"El-Kurru, near Jebel Barkal, Sudan",Napatan royal family and elites,"El-Kurru serves as an early Napatan royal cemetery with rock-cut chambers and superstructures subsequently covered by pyramids, illustrating the evolution of Kushite funerary architecture. Excavations uncovered burial goods, stelae and monumental architecture that recorded royal titulary and ritual practice, demonstrating close links to Egyptian ideological forms adapted into Nubian contexts. The site's stratigraphy informs chronology of Napatan rulers and their mortuary cult. El-Kurru is part of the Napatan region's ensemble of sacred sites recognized for their cultural significance.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=El-Kurru+Tombs
205,Sanam (Kushite site),Archaeological Site,Napatan period (c. 8th–6th centuries BC),"Sanam, near Kerma/Nubia region, Sudan",Kushite administrative or cultic uses,"Sanam is an archaeological settlement and temple site that reflects Napatan administrative and cultic activities, with architecture and inscriptions providing data on Kushite governance. Excavations have revealed building phases, domestic areas and imported materials that illuminate regional networks. The site contributes to understanding the Napatan state's organization beyond its royal centers. Sanam's remains are studied alongside nearby Napatan monuments to reconstruct regional interaction spheres.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Sanam+%28Kushite+site%29
206,Musawwarat es-Sufra,Archaeological Complex / Temple,Meroitic period (c. 3rd century BC – 1st century AD),"Near Meroe, Sudan",Meroitic rulers and cultic patrons,"Musawwarat es-Sufra is a Meroitic ceremonial complex noted for an enigmatic 'Great Enclosure' with ramped structures, courtyards and temples possibly associated with pilgrimage and ritual activities. The site also contains rock-cut features, animal enclosures and reliefs that document a local ceremonial landscape distinct from Egyptian temple typologies. Musawwarat’s architecture and material culture illuminate Meroitic religious practice and state-sponsored ritual performance. Archaeological work continues to interpret its functions and connections to the wider Kushite urban network.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Musawwarat+es-Sufra
207,Naqa (Naga) - Temple of Apedemak,Temple Complex,Meroitic period (c. 3rd century BC – 1st century AD),"Naqa, Sudan",Meroitic kings and local cults,"Naqa hosts monumental temples, including a temple to the lion-headed god Apedemak, richly decorated with reliefs that merge local and Egyptian iconographic elements. The site’s architecture shows Roman and Hellenistic influences combined with indigenous Meroitic styles, reflecting far-reaching contacts and cosmopolitan artistic expression. Naqa’s inscriptions and reliefs provide evidence for Meroitic religious practice, royal patronage and economic life. Conservation and archaeological documentation at Naqa contribute to reconstructing the Meroitic urban repertoire.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Naqa+%28Naga%29+-+Temple+of+Apedemak
208,Qasr Ibrim (Kasr Ibrim),Archaeological Site / Fortress,Pharaonic to medieval periods; occupied continuously,"Qasr Ibrim, Nubia (now in southern Egypt region)",Rulers of Nubia and later colonial occupants,"Qasr Ibrim is a multi-period fortress and settlement perched on a rocky promontory above the Nile, with evidence of Pharaonic, Meroitic, Roman, Christian and Islamic occupation phases. The site yielded exceptional organic remains and manuscripts due to dry preservation conditions, offering insights into daily life, administrative documents and religious transition in Lower Nubia. Qasr Ibrim’s strategic position made it a durable center of local power and cross-cultural exchange. Archaeological rescue campaigns during the Aswan dam projects documented the site's layered history and material culture.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Qasr+Ibrim+%28Kasr+Ibrim%29
209,Buhen Fortress,Fortress / Military site,Middle Kingdom to New Kingdom periods (c. 2000–1200 BC),"Buhen, near Wadi Halfa/Nubia (now in Sudan-Egypt border area)",Pharaonic Egyptian state (military and administrative outpost),"Buhen was an important Egyptian frontier fortress established to control trade and secure Nubian territories, featuring massive mudbrick walls, bastions and a garrisoned complex. The site included workshops, administrative quarters and a fortress town that regulated access to Upper Nile routes and resources. Excavation revealed evidence for metallurgy, pottery production and soldierly life, emphasizing the logistics of empire on the southern border. Buhen’s remains are key for understanding Egyptian military presence and colonial interactions in Nubia.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Buhen+Fortress
210,Sai Island,Island settlement / Archaeological site,"Kerma, New Kingdom, Napatan and later periods","Sai Island, Nile (near 3rd cataract)","Local rulers, Egyptian colonial garrisons and later Kushite communities","Sai Island has long stratified settlements with evidence for Kerma-period occupation, Egyptian colonial towns during the New Kingdom, and later Kushite reuse, including palatial architecture and cemeteries. Excavations have revealed domestic architecture, temples, cemeteries and imported goods indicating Sai’s role in long-distance exchange and imperial administration. The island’s occupational sequence documents cultural resilience and adaptation across changing political regimes. Ongoing archaeological programs continue to investigate Sai’s urban morphology and craft specialization.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Sai+Island
211,Amara West,Townsite and administrative center,New Kingdom colonial period (c. 1300–1150 BC),Amara West (Nubia),Egyptian colonial administrators and officials,"Amara West was a New Kingdom town established as an administrative center during Egyptian expeditions into Nubia, containing planned housing, administrative buildings, temples and cemeteries. Excavations led by the British Museum recorded well-preserved town plans, painted houses, and papyri fragments revealing daily life and colonial administration. The site exemplifies Egyptian urban planning in frontier contexts and the interactions of Egyptian officials with local Nile communities. Finds from Amara West inform debates about colonial policies, economic integration and social life in occupied Nubia.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Amara+West
